TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,PercentDiscount,SaleFinal,PaidWithPoints
1,5/4/2025,1034,2059,402,0.0,2048.20,37.95,1270.95,Yes
2,5/4/2025,1066,2048,403,1.0,321.87,48.59,165.46,No
3,5/4/2025,1116,2041,403,3.0,3216.84,42.48,1850.25,Yes
4,5/4/2025,1071,2096,404,2.0,1613.23,55.66,715.23,Yes
5,5/4/2025,1020,2060,401,0.0,408.38,21.27,321.53,No
6,5/4/2025,1089,2028,401,0.0,1275.88,47.87,665.07,No
7,5/4/2025,1193,2003,402,1.0,346.66,6.43,324.39,No
8,5/4/2025,1005,2079,402,1.0,855.49,61.09,332.86,Yes
9,5/4/2025,1032,2060,401,1.0,735.08,38.16,454.59,Yes
10,5/4/2025,1119,2089,403,2.0,661.63,49.52,334.02,No
11,5/4/2025,1042,2077,401,,505.65,15.10,429.31,Yes
12,5/4/2025,1079,2013,401,2.0,0.00,55.01,0.00,No
14,5/4/2025,1183,2025,401,1.0,503.32,94.27,28.82,Yes
15,5/4/2025,1026,2089,403,0.0,413.52,60.73,162.37,No
16,5/4/2025,1144,2005,403,3.0,1715.12,62.97,635.18,No
17,5/4/2025,1169,2047,401,2.0,535.97,25.76,397.92,Yes
19,5/4/2025,1110,2046,404,1.0,30.09,42.75,17.23,No
20,5/4/2025,1111,2022,403,3.0,671.18,91.23,58.89,No
21,5/4/2025,1119,2055,403,2.0,0.00,23.70,0.00,No
22,5/4/2025,1062,2011,403,3.0,1229.22,80.24,242.95,No
23,5/4/2025,1062,2096,404,3.0,672.18,29.97,470.72,No
24,5/4/2025,1086,2003,404,2.0,924.43,19.99,739.63,Yes
25,5/4/2025,1046,2062,402,2.0,1981.95,91.45,169.51,No
26,5/4/2025,1066,2043,403,2.0,698.76,13.99,600.99,Yes
27,5/4/2025,1142,2001,402,0.0,1237.05,25.14,926.11,No
28,5/4/2025,1061,2092,404,3.0,482.21,57.50,204.93,No
31,2023-13-01,1004,2011,403,1.0,737.53,26.12,544.89,No
32,5/4/2025,1103,2088,402,2.0,0.00,38.38,0.00,No
33,5/4/2025,1169,2074,403,3.0,0.00,47.90,0.00,No
34,5/4/2025,1141,2067,403,3.0,872.85,55.18,391.22,Yes
35,5/4/2025,1190,2070,403,2.0,54.69,92.06,4.34,No
36,5/4/2025,1179,2058,403,2.0,1066.80,21.11,841.62,No
37,5/4/2025,1064,2029,401,1.0,12.16,39.40,7.37,No
38,5/4/2025,1080,2015,402,1.0,3037.36,94.43,169.24,No
39,5/4/2025,1055,2094,404,2.0,1578.72,68.86,491.58,No
40,5/4/2025,1185,2075,403,0.0,0.00,31.85,0.00,No
41,5/4/2025,9999,2037,402,2.0,288.11,70.47,85.07,No
42,5/4/2025,1045,2038,401,1.0,1667.72,69.14,514.74,No
43,5/4/2025,1070,2005,401,2.0,686.05,9.38,621.71,No
44,5/4/2025,1178,2016,404,0.0,0.00,17.31,0.00,No
45,5/4/2025,1003,2073,403,3.0,1498.29,77.83,332.14,No
46,5/4/2025,1122,2056,403,1.0,944.50,84.91,142.56,No
47,5/4/2025,1013,2032,404,0.0,2836.80,5.90,2669.40,Yes
48,5/4/2025,1016,2051,404,0.0,117.32,18.82,95.25,Yes
49,5/4/2025,1147,2080,401,1.0,0.00,99.04,0.00,No
50,5/4/2025,1038,2072,403,0.0,840.60,53.03,394.80,No
51,5/4/2025,1063,2015,404,1.0,1214.95,45.10,667.04,No
52,5/4/2025,1198,2066,404,3.0,516.06,14.31,442.20,No
53,5/4/2025,1113,2038,404,2.0,2223.62,55.29,994.09,Yes
54,5/4/2025,1145,2079,401,0.0,1901.08,79.43,391.00,No
55,5/4/2025,1195,2026,402,2.0,507.74,5.55,479.58,No
56,5/4/2025,1169,2010,402,1.0,140.11,24.46,105.83,Yes
57,5/4/2025,1044,2070,401,1.0,0.00,8.85,0.00,Yes
58,5/4/2025,1000,2052,404,3.0,2193.78,40.87,1297.23,No
59,5/4/2025,1074,2004,402,2.0,741.80,14.81,631.91,Yes
60,5/4/2025,1180,2036,404,0.0,217.98,32.46,147.21,Yes
61,5/4/2025,1175,2029,403,1.0,36.48,94.31,2.08,No
62,5/4/2025,1108,2014,402,1.0,221.67,23.46,169.67,No
63,5/4/2025,1068,2018,401,0.0,2169.04,16.47,1811.78,Yes
64,5/4/2025,1042,2039,403,3.0,2929.32,42.66,1679.76,No
65,5/4/2025,1031,2059,403,3.0,0.00,29.59,0.00,No
66,5/4/2025,1069,2064,404,3.0,1470.20,18.82,1193.58,No
