ProductID,ProductName,Category,UnitPrice,YearReleased,MonthPurchased,OrderingSKU,SupplierName
2000,Electronics-Be,Electronics,969.31,1995,March,1000023516,Mark's Cool Gadgets
2001,Electronics-Be,Clothing,412.35,2025,February,1000041342,Spotted Turtle Boutique
2002,Office-Family,Clothing,866,2012,January,1000074741,Spotted Turtle Boutique
2003,Electronics-Training,Clothing,385.18,2010,December,1000084778,Spotted Turtle Boutique
2004,Office-Where,Home,927.25,2014,July,1000036159,Country Farm Homemakers
2005,Office-Huge,Home,428.78,1995,July,1000029971,Country Farm Homemakers
2006,Office-Class,Clothing,198,2010,April,1000099629,Spotted Turtle Boutique
2007,Clothing-Over,Electronics,583.39,1996,December,1000009568,Pinball Wizard Electronics
2008,Electronics-Skin,Home,66.59,2016,May,1000077028,Country Farm Homemakers
2009,Office-Raise,Clothing,66.31,2010,December,1000043803,Spotted Turtle Boutique
2010,Electronics-Themselves,Clothing,77.84,2006,February,1000037968,Spotted Turtle Boutique
2011,Electronics-Religious,Clothing,409.74,1994,November,1000087090,Spotted Turtle Boutique
2012,Clothing-Artist,Electronics,623.19,2012,May,1000060235,Pinball Wizard Electronics
2013,Office-Cultural,Home,935.36,2022,April,1000081582,Country Farm Homemakers
2014,Clothing-Eat,Home,246.3,2024,March,1000032157,Country Farm Homemakers
2015,Office-Itself,Clothing,674.97,2014,February,1000040577,Spotted Turtle Boutique
2016,Home-He,Office,323.02,2019,July,1000063823,Corrugated Supply Shop
2017,Electronics-Feeling,Electronics,463.7,1995,February,1000010855,Mark's Cool Gadgets
2018,Electronics-Nature,Electronics,542.26,2025,August,1000006099,Mark's Cool Gadgets
2019,Home-History,Clothing,933.93,1999,September,1000001393,Artificial Dreams
2020,Electronics-Share,Clothing,375.83,2018,July,1000031118,Spotted Turtle Boutique
2021,Clothing-Skill,Office,835.41,2018,November,1000079397,Dunder Mifflin Paper Company
2022,Home-Economy,Electronics,671.18,1999,October,1000016137,Pinball Wizard Electronics
2023,Home-Yeah,Electronics,939.54,2008,February,1000010021,Mark's Cool Gadgets
2024,Clothing-Paper,Home,124.27,2020,September,1000048608,Country Farm Homemakers
2025,Electronics-Assume,Clothing,279.62,2007,June,1000099504,Spotted Turtle Boutique
2026,Clothing-Use,Home,211.56,2022,April,1000094311,Cave and Hive Décor
2027,Home-Purpose,Office,258.61,2004,September,1000029715,Dunder Mifflin Paper Company
2028,Electronics-Take,Electronics,637.94,2009,March,1000063427,Pinball Wizard Electronics
2029,Home-Yourself,Electronics,13.51,1999,June,1000005854,Pinball Wizard Electronics
2030,Clothing-First,Home,169.97,2017,March,1000087272,Country Farm Homemakers
2031,Office-Develop,Office,565.3,1994,April,1000058837,Dunder Mifflin Paper Company
2032,Electronics-There,Electronics,945.6,1999,February,1000017557,Mark's Cool Gadgets
2033,Clothing-Argue,Electronics,836.25,2023,February,1000005797,Mark's Cool Gadgets
2034,Clothing-Feel,Office,136.17,1994,November,1000068552,Dunder Mifflin Paper Company
2035,Home-According,Home,899.99,2023,January,1000060741,Country Farm Homemakers
2036,Electronics-Candidate,Home,217.98,2013,July,1000009981,Cave and Hive Décor
2037,Clothing-Meeting,Electronics,360.14,2003,July,1000082696,Mark's Cool Gadgets
2038,Office-Soon,Clothing,926.51,2011,March,1000041346,Spotted Turtle Boutique
2039,Clothing-Need,Clothing,976.44,2006,March,1000081957,Spotted Turtle Boutique
2040,Clothing-Determine,Office,34.54,2015,March,1000010346,Corrugated Supply Shop
2041,Home-Assume,Office,804.21,1989,August,1000055738,Dunder Mifflin Paper Company
2042,Clothing-Lawyer,Home,167.61,1989,November,1000003033,Country Farm Homemakers
2043,Electronics-Practice,Office,873.45,1996,June,1000025056,Corrugated Supply Shop
2044,Office-Society,Clothing,207.58,2010,August,1000034079,Spotted Turtle Boutique
2045,Office-Next,Home,312.14,2001,June,1000020394,Country Farm Homemakers
